time,CPU1,CPU2,CPU3,CPU4,CPU5,CPU6,CPU7,CPU8
15:58:06,17.0,16.0,5.1,2.0,0.0,0.0,0.0,0.0
15:58:07,27.0,26.0,7.0,4.0,2.0,1.0,0.0,0.0
15:58:08,14.0,13.0,9.0,4.0,1.0,0.0,0.0,0.0
15:58:09,13.0,13.1,6.0,2.0,0.0,0.0,0.0,0.0
15:58:10,18.2,17.8,4.0,0.0,4.0,0.0,0.0,0.0
15:58:11,18.0,17.2,5.9,3.0,0.0,0.0,0.0,0.0
15:58:12,17.8,17.0,7.0,0.0,1.0,0.0,0.0,0.0
15:58:13,11.1,13.1,1.0,1.0,0.0,0.0,0.0,0.0
15:58:14,37.0,38.4,9.9,4.0,6.0,2.9,2.0,0.0
15:58:15,24.0,24.0,4.0,2.0,1.0,1.0,0.0,1.0
15:58:16,34.3,33.0,28.0,15.0,6.0,9.0,5.0,1.0
15:58:17,22.8,21.2,18.0,10.9,3.0,5.0,3.0,0.0
15:58:18,15.0,15.0,7.9,1.0,1.0,0.0,0.0,0.0
15:58:19,24.5,25.0,22.2,14.1,7.0,11.9,5.9,3.0
15:58:20,28.3,25.3,16.0,7.0,2.0,2.0,0.0,0.0
15:58:21,33.0,31.7,7.0,1.0,0.0,0.0,0.0,0.0
15:58:22,19.0,18.2,6.9,1.0,0.0,0.0,0.0,0.0
15:58:23,19.2,18.0,8.1,4.0,5.9,3.0,1.0,0.0
15:58:24,33.0,30.3,12.9,4.0,0.0,2.9,0.0,0.0
15:58:25,15.0,15.0,5.0,1.0,1.0,0.0,0.0,0.0
15:58:26,29.3,28.0,4.0,2.0,1.0,0.0,0.0,0.0
15:58:27,27.7,24.2,14.0,7.0,3.0,8.0,1.0,0.0
15:58:28,21.0,21.0,8.9,1.0,0.0,0.0,0.0,0.0
15:58:29,21.2,24.0,17.0,7.1,4.0,6.0,1.0,0.0
15:58:30,20.0,22.0,12.1,5.0,1.0,3.0,1.0,0.0
15:58:31,27.0,26.3,10.9,5.9,2.0,1.0,1.0,0.0
15:58:32,28.0,26.7,7.0,1.0,0.0,0.0,0.0,0.0
15:58:33,23.0,23.8,5.0,1.0,1.0,1.0,0.0,0.0
15:58:34,28.3,26.5,13.0,12.9,5.1,5.0,2.0,0.0
15:58:35,24.0,22.0,30.3,18.2,10.9,10.0,7.9,3.9
15:58:36,37.4,37.0,17.2,7.9,4.0,3.0,1.0,1.0
15:58:37,30.0,29.0,6.9,0.0,0.0,0.0,0.0,0.0
15:58:38,36.4,34.0,11.0,4.0,0.0,3.0,0.0,0.0
15:58:39,27.3,26.3,11.9,5.0,4.0,3.0,2.0,1.0
15:58:40,26.0,25.0,12.0,6.0,2.0,2.0,1.0,1.0
15:58:41,27.3,27.6,12.1,5.0,5.0,5.0,1.0,1.0
15:58:42,30.3,29.7,8.0,4.0,2.0,3.0,2.0,0.0
15:58:43,28.3,31.0,33.7,19.0,8.0,6.9,0.0,0.0
15:58:44,32.7,29.3,15.0,7.0,1.0,0.0,0.0,0.0
15:58:45,27.0,25.7,7.9,3.9,0.0,0.0,0.0,0.0
15:58:46,29.0,28.3,18.0,8.1,6.0,24.8,4.0,0.0
15:58:47,28.3,29.0,23.0,8.0,4.9,8.9,2.0,0.0
15:58:48,22.0,22.0,7.9,2.0,0.0,0.0,0.0,0.0
15:58:49,21.0,21.2,8.0,2.0,0.0,0.0,0.0,0.0
15:58:50,19.0,19.0,8.1,4.0,1.0,0.0,0.0,0.0
15:58:51,28.0,26.7,8.9,5.0,2.0,2.0,2.0,0.0
15:58:52,25.0,26.0,15.2,4.0,1.0,1.0,0.0,0.0
15:58:53,13.9,13.0,8.0,2.0,0.0,0.0,0.0,0.0
15:58:54,15.2,16.0,8.0,1.0,0.0,0.0,0.0,0.0
15:58:55,11.9,12.0,5.0,2.0,0.0,0.0,0.0,0.0
15:58:56,20.0,18.0,8.9,1.0,2.0,0.0,0.0,0.0
15:58:57,14.0,13.9,5.9,2.0,0.0,0.0,0.0,0.0
15:58:58,13.0,14.0,6.0,1.0,0.0,0.0,0.0,0.0
15:58:59,18.8,17.8,8.9,3.9,2.0,1.0,0.0,1.0
15:59:00,21.0,19.0,8.9,2.0,0.0,0.0,0.0,0.0
15:59:01,47.0,47.0,12.0,9.1,4.0,4.0,2.0,2.0
15:59:02,31.0,29.0,10.1,4.0,2.0,1.0,2.0,1.0
15:59:03,18.0,15.0,9.9,3.0,2.0,0.0,0.0,0.0
15:59:04,11.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0
15:59:05,20.2,24.8,8.9,3.0,2.0,2.0,0.0,1.0
15:59:06,26.7,23.2,9.0,5.0,1.0,2.0,1.0,0.0
15:59:07,21.0,19.8,23.0,16.8,9.9,5.0,3.0,2.0
15:59:08,22.2,21.2,8.9,3.0,2.0,2.0,0.0,0.0
15:59:09,33.7,32.7,21.0,9.0,4.0,1.0,0.0,0.0
15:59:10,40.0,34.3,16.0,6.0,5.0,5.0,2.0,3.0
15:59:11,38.0,35.6,10.9,3.0,1.0,1.0,0.0,0.0
15:59:12,35.0,34.3,29.3,15.0,9.9,9.0,3.0,0.0
15:59:13,34.3,35.0,15.0,12.0,5.1,1.0,2.0,0.0
15:59:14,26.0,24.2,26.0,19.0,10.0,8.9,1.0,2.0
15:59:15,25.3,23.2,31.0,21.0,11.0,11.1,6.0,1.0
15:59:16,32.3,33.3,16.2,11.0,5.0,5.0,4.0,1.0
15:59:17,34.0,32.0,26.0,13.9,5.9,10.0,5.0,2.0
15:59:18,62.6,67.3,17.0,7.0,7.1,4.0,0.0,0.0
15:59:19,75.2,61.6,21.8,4.0,3.0,3.0,1.0,1.0
15:59:20,31.7,30.0,23.0,13.9,10.9,9.0,8.0,3.0
15:59:21,27.6,27.6,32.3,22.0,15.0,17.0,11.0,6.0
15:59:22,28.7,31.7,11.0,3.0,2.0,1.0,1.0,0.0
15:59:23,24.2,22.0,8.0,4.0,0.0,0.0,0.0,0.0
15:59:24,27.0,24.0,7.8,3.0,1.0,0.0,0.0,0.0
15:59:25,26.5,24.5,8.1,1.0,1.0,0.0,0.0,0.0
15:59:26,25.0,25.0,10.9,3.0,0.0,0.0,0.0,0.0
15:59:27,25.7,26.0,7.1,4.0,4.0,0.0,0.0,0.0
15:59:28,42.0,41.0,11.9,6.9,1.0,2.9,2.9,1.0
15:59:29,61.0,57.6,13.0,6.1,5.0,2.0,3.0,2.0
15:59:30,43.4,42.0,16.0,7.0,3.0,4.0,2.0,0.0
15:59:31,32.0,29.0,7.0,3.0,1.0,0.0,1.0,0.0
15:59:32,29.0,30.0,10.0,3.0,1.0,2.9,1.0,1.0
15:59:33,24.0,21.2,12.9,2.9,0.0,0.0,0.0,0.0
15:59:34,20.0,21.0,9.0,0.0,4.0,0.0,0.0,0.0
15:59:35,17.2,17.0,6.0,3.0,4.0,1.0,0.0,0.0
15:59:36,29.3,26.0,16.0,9.0,5.9,0.0,1.0,0.0
15:59:37,21.8,20.0,7.9,4.0,0.0,2.0,0.0,0.0
15:59:38,40.4,40.0,20.2,15.0,5.0,1.0,0.0,0.0
15:59:39,36.0,33.0,16.0,3.0,3.0,1.0,0.0,0.0
15:59:40,60.4,62.0,5.1,3.0,0.0,0.0,0.0,0.0
15:59:41,69.0,61.0,7.0,2.0,0.0,0.0,0.0,0.0
15:59:42,22.0,20.2,8.8,2.0,0.0,0.0,0.0,0.0
15:59:43,21.2,22.8,2.0,2.0,1.0,0.0,1.0,0.0
15:59:44,13.0,13.0,6.0,3.0,0.0,2.9,1.0,0.0
15:59:45,25.7,21.8,9.0,3.0,1.0,0.0,0.0,1.0
15:59:46,26.3,26.3,11.9,9.1,6.0,3.0,2.0,1.0
15:59:47,29.0,28.0,9.0,5.0,0.0,0.0,0.0,0.0
15:59:48,17.0,14.9,6.9,2.0,1.0,0.0,0.0,0.0
15:59:49,17.0,13.1,8.0,3.0,1.0,3.0,0.0,0.0
15:59:50,22.0,21.6,5.9,1.0,1.0,0.0,0.0,0.0
15:59:51,22.0,22.0,10.0,4.0,0.0,0.0,0.0,0.0
15:59:52,20.0,19.2,4.0,2.0,1.0,0.0,0.0,0.0
15:59:53,22.0,21.0,8.8,2.0,0.0,0.0,0.0,0.0
15:59:54,19.2,21.0,9.1,2.0,1.0,0.0,0.0,0.0
15:59:55,23.8,22.8,9.0,4.0,1.0,0.0,0.0,0.0
15:59:56,12.1,13.0,3.0,3.0,0.0,0.0,0.0,0.0
15:59:57,11.1,10.0,6.0,1.0,0.0,1.0,0.0,0.0
15:59:58,12.9,11.0,5.0,2.9,0.0,2.0,0.0,0.0
15:59:59,13.0,12.0,6.9,1.0,1.0,0.0,0.0,0.0
16:00:00,12.0,12.0,6.0,1.0,0.0,0.0,0.0,0.0
16:00:01,18.0,15.0,28.0,8.0,6.9,1.0,1.0,0.0
16:00:02,11.0,12.0,6.9,2.0,0.0,0.0,0.0,0.0
16:00:03,19.0,17.8,6.1,3.0,0.0,0.0,0.0,0.0
16:00:04,14.0,18.0,13.0,11.0,1.0,0.0,0.0,0.0
16:00:05,25.3,25.5,24.8,10.9,5.0,2.0,0.0,0.0
16:00:06,15.8,14.9,4.0,6.0,0.0,2.0,0.0,0.0
16:00:07,20.0,18.0,8.9,4.0,0.0,0.0,0.0,0.0
16:00:08,13.0,12.9,5.9,2.0,0.0,0.0,0.0,0.0
16:00:09,14.0,13.1,5.0,1.0,0.0,0.0,0.0,0.0
16:00:10,22.0,22.0,10.9,6.9,2.9,2.0,1.0,1.0
16:00:11,20.0,17.8,6.0,1.0,0.0,1.0,0.0,0.0
16:00:12,12.0,13.0,6.9,2.0,0.0,0.0,0.0,0.0
16:00:13,29.0,31.0,5.1,5.0,3.9,1.0,1.0,1.0
16:00:14,16.0,17.8,25.7,7.0,2.0,2.0,1.0,0.0
16:00:15,23.0,21.2,18.0,8.9,1.0,1.0,0.0,0.0
16:00:16,15.0,14.1,8.0,2.0,1.0,0.0,0.0,0.0
16:00:17,23.0,23.0,27.0,16.0,10.1,5.0,1.0,0.0
16:00:18,12.0,14.0,6.0,2.0,0.0,0.0,0.0,0.0
16:00:19,11.0,11.2,6.9,1.0,2.0,0.0,0.0,0.0
16:00:20,11.0,11.8,6.9,3.0,0.0,0.0,0.0,0.0
16:00:21,14.0,12.1,4.0,1.0,1.0,2.0,0.0,0.0
16:00:22,15.0,15.8,5.0,2.0,0.0,0.0,0.0,0.0
16:00:23,17.0,19.0,5.9,4.0,0.0,0.0,0.0,0.0
16:00:24,24.2,22.4,7.1,3.0,4.0,0.0,0.0,0.0
16:00:25,30.0,28.0,9.0,3.0,1.0,3.0,0.0,0.0
16:00:26,23.0,22.0,9.9,3.0,1.0,0.0,0.0,0.0
16:00:27,15.0,14.0,9.0,2.9,1.0,0.0,0.0,0.0
16:00:28,18.0,16.0,3.0,4.0,1.0,0.0,0.0,0.0
16:00:29,23.0,22.0,9.8,4.0,0.0,2.0,0.0,0.0
16:00:30,20.2,19.2,9.1,2.0,1.0,0.0,0.0,0.0
16:00:31,19.0,16.2,9.0,3.0,0.0,0.0,0.0,0.0
16:00:32,21.0,21.8,13.9,4.0,1.0,0.0,0.0,0.0
16:00:33,17.0,17.0,7.0,2.0,1.0,1.0,0.0,0.0
16:00:34,25.0,21.2,10.0,3.0,1.0,0.0,1.0,0.0
16:00:35,16.0,15.2,7.0,3.0,4.0,2.0,0.0,0.0
16:00:36,16.2,16.0,5.0,4.0,1.0,1.0,0.0,0.0
16:00:37,19.0,19.0,7.0,2.0,1.0,2.0,0.0,0.0
16:00:38,23.2,23.2,14.0,4.0,2.0,0.0,0.0,0.0
16:00:39,21.0,20.8,12.1,4.0,2.0,2.9,1.0,0.0
16:00:40,23.8,24.2,17.6,5.9,2.0,0.0,1.0,0.0
16:00:41,11.0,12.0,2.0,4.0,0.0,0.0,0.0,0.0
16:00:42,10.0,10.9,5.0,1.0,0.0,0.0,0.0,0.0
16:00:43,22.8,21.0,8.9,2.0,0.0,1.0,0.0,0.0
16:00:44,19.2,19.0,8.9,1.0,1.0,0.0,0.0,0.0
16:00:45,18.0,17.0,8.0,3.0,1.0,0.0,0.0,0.0
16:00:46,47.5,48.0,24.2,16.8,5.9,3.0,0.0,0.0
16:00:47,48.5,47.4,24.7,14.3,7.1,2.0,1.0,2.0
16:00:48,27.3,25.3,16.0,7.0,3.0,2.0,0.0,0.0
16:00:49,25.3,28.0,16.0,6.0,2.0,1.0,0.0,0.0
16:00:50,24.8,24.0,16.0,8.0,3.0,3.0,1.0,0.0
16:00:51,17.0,19.0,9.0,4.0,2.0,0.0,0.0,0.0
16:00:52,16.2,15.0,8.0,4.0,1.0,2.9,0.0,0.0
16:00:53,24.0,25.0,9.1,5.0,1.0,0.0,0.0,0.0
16:00:54,23.8,21.2,6.9,2.0,0.0,1.0,0.0,0.0
16:00:55,32.0,31.4,10.9,4.0,1.0,1.0,0.0,0.0
16:00:56,28.3,27.3,17.0,11.1,4.0,3.0,0.0,0.0
16:00:57,17.0,15.2,6.1,5.0,1.0,1.0,0.0,0.0
16:00:58,25.0,26.3,28.0,20.8,10.0,5.0,2.0,0.0
16:00:59,12.0,10.9,5.9,3.0,3.0,1.0,0.0,0.0
16:01:00,20.0,21.0,6.0,4.0,0.0,0.0,0.0,0.0
16:01:01,13.0,12.0,5.0,1.0,0.0,0.0,0.0,0.0
16:01:02,24.0,23.8,10.0,3.0,1.0,2.0,0.0,0.0
16:01:03,20.2,18.4,13.0,6.9,5.9,9.0,2.0,0.0
16:01:04,24.0,23.0,31.3,15.2,9.0,36.0,0.0,0.0
16:01:05,25.3,23.2,30.0,24.0,19.0,3.0,0.0,0.0
16:01:06,28.0,27.0,51.0,29.0,18.0,38.6,13.0,4.0
16:01:07,24.8,27.0,11.0,5.0,1.0,0.0,0.0,0.0
16:01:08,15.2,12.1,14.0,2.0,1.0,0.0,0.0,0.0
16:01:09,18.6,18.0,9.8,4.0,0.0,0.0,0.0,0.0
16:01:10,26.3,28.7,17.0,7.8,4.0,2.0,0.0,0.0
16:01:11,19.2,19.0,11.0,3.0,1.0,1.0,1.0,0.0
16:01:12,18.8,17.0,11.1,1.0,0.0,1.0,0.0,0.0
16:01:13,25.0,28.3,14.7,5.0,1.0,0.0,1.0,0.0
16:01:14,16.0,17.8,8.0,3.0,0.0,0.0,0.0,0.0
16:01:16,11.1,15.2,12.0,1.0,2.0,0.0,0.0,0.0
16:01:17,22.0,17.8,8.0,5.0,3.0,0.0,0.0,0.0
16:01:18,38.6,41.0,22.2,13.9,10.0,10.0,7.0,6.0
16:01:19,68.7,71.0,21.0,4.0,3.0,3.0,2.0,0.0
16:01:20,52.5,51.5,18.8,9.0,5.0,3.0,3.0,4.0
16:01:21,30.3,29.7,31.3,18.0,8.8,5.0,3.0,1.0
16:01:22,41.0,40.0,16.0,5.1,6.0,3.0,0.0,1.0
16:01:23,39.0,38.0,11.0,7.0,2.0,0.0,0.0,0.0
16:01:24,39.0,36.0,14.3,3.0,3.0,1.0,0.0,0.0
16:01:25,31.0,31.3,9.8,5.0,1.0,2.0,0.0,0.0
16:01:26,42.4,40.0,6.0,2.0,2.0,0.0,0.0,0.0
16:01:27,28.0,30.3,11.0,2.0,0.0,1.0,0.0,0.0
16:01:28,14.0,15.8,8.0,0.0,0.0,0.0,0.0,0.0
16:01:29,22.8,22.0,8.0,2.0,0.0,0.0,0.0,0.0
16:01:30,37.0,47.5,7.0,1.0,0.0,0.0,0.0,0.0
16:01:31,25.3,28.0,12.0,3.0,5.0,1.0,0.0,0.0
16:01:32,37.6,34.0,14.0,4.0,0.0,1.0,1.0,0.0
16:01:33,32.3,33.3,14.0,6.0,2.0,1.0,0.0,0.0
16:01:34,30.7,28.0,13.0,1.0,2.0,0.0,0.0,0.0
16:01:35,35.4,37.0,11.0,3.0,0.0,0.0,0.0,0.0
16:01:36,23.0,20.0,14.0,2.0,2.0,0.0,0.0,0.0
16:01:37,17.8,16.0,8.0,1.0,0.0,0.0,0.0,0.0
16:01:38,28.3,26.0,7.0,5.0,1.0,1.0,0.0,0.0
16:01:39,30.0,28.0,14.7,2.0,1.0,0.0,0.0,0.0
16:01:40,59.0,56.0,9.1,3.0,2.0,3.0,1.0,1.0
16:01:41,58.0,66.0,19.0,10.9,4.0,3.0,1.0,0.0
16:01:42,12.9,12.0,8.9,9.0,5.9,3.9,0.0,0.0
16:01:43,15.0,13.0,7.0,2.0,2.0,0.0,0.0,0.0
16:01:44,18.0,20.0,7.9,3.0,0.0,0.0,0.0,0.0
16:01:45,11.0,10.9,9.0,2.9,0.0,0.0,0.0,0.0
16:01:46,13.9,12.0,6.9,1.0,4.0,0.0,0.0,0.0
16:01:47,13.0,13.0,6.9,4.0,2.0,0.0,0.0,0.0
16:01:48,11.0,10.0,7.1,0.0,2.0,0.0,0.0,0.0
16:01:49,11.1,11.0,5.0,3.0,5.9,0.0,0.0,0.0
16:01:50,25.7,24.2,15.2,8.0,3.0,2.0,0.0,0.0
16:01:51,23.5,24.8,14.9,5.0,2.0,3.0,1.0,1.0
16:01:52,25.0,22.2,16.8,4.0,2.0,0.0,0.0,0.0
16:01:53,19.0,17.0,6.0,2.0,0.0,0.0,0.0,0.0
16:01:54,11.9,12.1,2.0,1.0,0.0,0.0,0.0,0.0
16:01:55,12.1,11.9,6.9,1.0,0.0,0.0,0.0,0.0
16:01:56,32.0,30.3,7.0,3.0,1.0,2.0,0.0,0.0
16:01:57,37.0,36.6,23.0,14.0,6.0,5.0,3.0,1.0
16:01:58,18.0,17.2,8.0,4.0,0.0,0.0,0.0,0.0
16:01:59,19.0,20.8,9.9,1.0,2.0,1.0,0.0,0.0
16:02:00,33.3,31.3,19.2,13.9,6.0,5.0,3.0,2.0
16:02:01,28.3,27.0,21.0,12.1,7.0,7.9,1.0,0.0
16:02:02,33.3,33.0,22.2,14.9,4.0,7.9,4.0,0.0
16:02:03,33.0,30.3,6.0,5.1,1.0,0.0,0.0,1.0
16:02:04,27.0,26.3,26.0,20.2,11.9,11.0,8.9,4.0
16:02:05,30.3,29.7,10.9,6.0,5.0,2.0,0.0,1.0
16:02:06,18.8,14.1,8.0,1.0,0.0,0.0,0.0,0.0
16:02:07,10.1,11.0,1.0,2.0,0.0,0.0,0.0,0.0
16:02:08,15.8,14.0,7.0,2.0,1.0,0.0,0.0,0.0
16:02:09,16.0,16.0,6.9,2.0,0.0,0.0,0.0,0.0
16:02:10,18.0,16.2,8.1,5.9,0.0,1.0,0.0,0.0
16:02:11,13.9,14.0,7.9,1.0,1.0,0.0,0.0,0.0
16:02:12,10.1,12.9,5.1,2.0,0.0,0.0,1.0,0.0
16:02:13,22.8,19.0,5.9,3.0,0.0,1.0,0.0,0.0
16:02:14,14.0,14.0,6.1,1.0,0.0,0.0,0.0,0.0
16:02:15,14.1,14.9,6.9,2.0,0.0,0.0,0.0,0.0
16:02:16,15.8,15.2,7.0,2.0,1.0,1.0,0.0,0.0
16:02:17,15.0,15.8,5.9,2.0,2.0,0.0,0.0,0.0
16:02:18,23.0,20.2,6.0,2.0,2.0,0.0,0.0,0.0
16:02:19,15.0,17.0,3.0,5.0,0.0,1.0,0.0,0.0
16:02:20,20.0,20.0,4.0,2.9,1.0,0.0,0.0,0.0
16:02:21,13.9,14.0,5.9,4.0,0.0,0.0,0.0,0.0
16:02:22,14.1,14.0,9.0,2.0,1.0,0.0,0.0,0.0
16:02:23,12.9,11.9,6.9,2.9,1.0,0.0,0.0,0.0
16:02:24,13.1,15.2,6.1,3.0,0.0,1.0,0.0,0.0
16:02:25,14.1,16.8,7.0,1.0,1.0,0.0,0.0,0.0
16:02:26,37.3,33.0,11.9,6.9,3.0,2.0,0.0,0.0
16:02:27,39.8,37.4,15.0,6.1,2.0,3.0,1.0,0.0
